step,loss,elapsed_s
0,1.1888647079467773,20.438554525375366
1,1.4559409618377686,28.7410671710968
2,1.1086456775665283,28.771169424057007
3,0.9468750357627869,28.79851508140564
4,1.0340162515640259,28.82903027534485
5,1.0000578165054321,28.85980749130249
6,0.9351760149002075,28.89244532585144
7,1.1185787916183472,28.924290895462036
8,1.6853359937667847,28.957985162734985
9,1.0174154043197632,28.991257667541504
10,1.2885642051696777,29.023255586624146
11,1.295204997062683,29.05455183982849
12,0.9524544477462769,29.083226203918457
13,1.1343486309051514,29.113264560699463
14,0.9137981534004211,29.143502235412598
15,1.2821192741394043,29.174981594085693
